N,Time,Tag
7000,92917,sequential
7500,49616,parallel
7500,108397,sequential
8000,56274,parallel
8000,113149,sequential
8500,67501,parallel
8500,139719,sequential
9000,75360,parallel
9000,146331,sequential
9500,77658,parallel
9500,160610,sequential
10000,90774,parallel
10000,182628,sequential
5000,24190,parallel
5000,45643,sequential
5500,31535,parallel
5500,53505,sequential
6000,35162,parallel
6000,67849,sequential
6500,43445,parallel
6500,83469,sequential
7000,46019,parallel
7000,96108,sequential
7500,51012,parallel
7500,105753,sequential
8000,57482,parallel
8000,114893,sequential
8500,65829,parallel
8500,131058,sequential
9000,72166,parallel
9000,151187,sequential
9500,80807,parallel
9500,171582,sequential
10000,87850,parallel
10000,177892,sequential
5000,25737,parallel
5000,44918,sequential
5500,31335,parallel
5500,56112,sequential
6000,35189,parallel
6000,68514,sequential
6500,41198,parallel
6500,81938,sequential
7000,47254,parallel
7000,93716,sequential
7500,49453,parallel
7500,99636,sequential
8000,59267,parallel
8000,118405,sequential
8500,66064,parallel
8500,132097,sequential
9000,72267,parallel
9000,143203,sequential
9500,80609,parallel
9500,162899,sequential
10000,86411,parallel
10000,186168,sequential
5000,27208,parallel
5000,48283,sequential
5500,29998,parallel
5500,55960,sequential
6000,32706,parallel
6000,66697,sequential
6500,38574,parallel
6500,83765,sequential
7000,47462,parallel
7000,92670,sequential
7500,49789,parallel
7500,106701,sequential
8000,59553,parallel
8000,116322,sequential
8500,65259,parallel
8500,131358,sequential
9000,75790,parallel
9000,146865,sequential
9500,81791,parallel
9500,164661,sequential
10000,85796,parallel
10000,177443,sequential
5000,24584,parallel
5000,53136,sequential
5500,27640,parallel
5500,56548,sequential
6000,32971,parallel
6000,69571,sequential
6500,39776,parallel
6500,81362,sequential
7000,46675,parallel
7000,98307,sequential
7500,50015,parallel
7500,106440,sequential
8000,59527,parallel
8000,118284,sequential
8500,64124,parallel
8500,134750,sequential
9000,75741,parallel
9000,144479,sequential
9500,82488,parallel
9500,158788,sequential
10000,85252,parallel
10000,180770,sequential
5000,23432,parallel
5000,48665,sequential
5500,28979,parallel
5500,55457,sequential
6000,33095,parallel
6000,67784,sequential
6500,38072,parallel
6500,75815,sequential
7000,44647,parallel
7000,93852,sequential
7500,53159,parallel
7500,105724,sequential
8000,55213,parallel
8000,117676,sequential
8500,61356,parallel
8500,137238,sequential
9000,70657,parallel
9000,150539,sequential
9500,80714,parallel
9500,162841,sequential
10000,90226,parallel
10000,182522,sequential
5000,23831,parallel
